dataset,model,cv_f1,cv_std,test_f1,DROP_f1,PURSUE_f1,REVIEW_f1
v1,semantic,0.61068037527413,0.03151365693868078,0.615539361634012,0.7007299270072993,0.640625,0.5052631578947369
v1,tfidf,0.6588924194353731,0.047926572925941366,0.6528829966329966,0.6944444444444444,0.71875,0.5454545454545454
v2,semantic,0.6172164398921486,0.042680508880445195,0.5969480074646257,0.6,0.6277372262773723,0.5631067961165048
v2,tfidf,0.6360789685231987,0.05713298826342198,0.6304899058264601,0.6178861788617886,0.6716417910447762,0.6019417475728155
v2_mega,semantic,0.5988742812561629,0.02430960297510654,0.6502168515591334,0.7301587301587301,0.7104247104247104,0.5100671140939598
v2_mega,tfidf,0.645029525429602,0.018892852097687814,0.664329014242187,0.7586206896551724,0.7307692307692307,0.5035971223021583
