,precision,recall,f1-score,support
DROP,0.773109243697479,0.6917293233082706,0.7301587301587301,133.0
PURSUE,0.6865671641791045,0.736,0.7104247104247104,125.0
REVIEW,0.4935064935064935,0.5277777777777778,0.5100671140939598,72.0
accuracy,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.6727272727272727
macro avg,0.6510609671276923,0.6518357003620161,0.6502168515591334,330.0
weighted avg,0.679323916565516,0.6727272727272727,0.6746637337241365,330.0
