,precision,recall,f1-score,support
DROP,0.6101694915254238,0.5901639344262295,0.6,61.0
PURSUE,0.6231884057971014,0.6323529411764706,0.6277372262773723,68.0
REVIEW,0.5576923076923077,0.5686274509803921,0.5631067961165048,51.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.5970167350049443,0.5970481088610308,0.5969480074646257,180.0
weighted avg,0.6002192126086747,0.6,0.6000254332711281,180.0
