,precision,recall,f1-score,support
DROP,0.5694444444444444,0.6612903225806451,0.6119402985074627,62.0
PURSUE,0.6756756756756757,0.6329113924050633,0.6535947712418301,79.0
REVIEW,0.5333333333333333,0.48,0.5052631578947369,50.0
accuracy,0.6020942408376964,0.6020942408376964,0.6020942408376964,0.6020942408376964
macro avg,0.5928178178178177,0.5914005716619029,0.5902660758813433,191.0
weighted avg,0.603929846076443,0.6020942408376964,0.6012431587974036,191.0
