,precision,recall,f1-score,support
DROP,0.6060606060606061,0.6451612903225806,0.625,62.0
PURSUE,0.6790123456790124,0.6962025316455697,0.6875,79.0
REVIEW,0.5454545454545454,0.48,0.5106382978723404,50.0
accuracy,0.6230366492146597,0.6230366492146597,0.6230366492146597,0.6230366492146597
macro avg,0.6101758323980546,0.6071212739893834,0.6077127659574467,191.0
weighted avg,0.6203689013462137,0.6230366492146597,0.6209131669822882,191.0
